Benchmark,N,A,Topology,Max Degree,When Removed,Colors,Largest Color,Runtime
1,1000,32,Square,52,21,20,76,0.324083
2,8000,64,Square,88,37,36,325,3.090732
3,16000,32,Square,55,26,24,1144,3.125450
4,64000,64,Square,101,41,38,2533,25.039543
5,64000,128,Square,171,73,65,1373,51.550295
6,128000,64,Square,100,44,43,5065,48.056764
7,128000,128,Square,177,73,65,2733,104.456557
8,8000,64,Disc,94,38,36,322,7.457666
9,64000,64,Disc,96,40,38,2529,64.634774
10,64000,128,Disc,177,72,65,1373,128.991956
11,16000,64,Sphere,92,41,41,623,20.533624
12,32000,128,Sphere,175,89,65,677,83.396946
13,64000,128,Sphere,174,85,64,1354,159.624733
